90245 2014/1/1
Time(PDT),Temp.°F,Dew Point°F,Humidity%,Pressure(in),Visibility(mi),Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:00 AM,53.1 °F,51.1 °F,93.0%,30.12 in,2.0 mi,Calm,Calm,-,N/A,Fog,Patches of Fog
1:00 AM,53.7 °F,51.6 °F,92.67%,30.12 in,1.3 mi,Calm,Calm,-,N/A,Fog,Patches of Fog
2:00 AM,54.0 °F,52.5 °F,94.67%,30.11 in,0.33 mi,Calm,Calm,-,N/A,Fog,Patches of Fog
3:00 AM,50.0 °F,48.5 °F,95.0%,30.1 in,0.1 mi,ESE,3.5 mph,-,N/A,Fog,Fog
4:00 AM,50.0 °F,48.1 °F,93.5%,30.1 in,0.5 mi,ESE,3.5 mph,-,N/A,Fog,Fog
5:00 AM,47.2 °F,45.9 °F,95.33%,30.1 in,1.0 mi,SE,4.6 mph,-,N/A,Fog,Patches of Fog
6:00 AM,46.9 °F,46.0 °F,97.0%,30.11 in,3.0 mi,SE,3.5 mph,-,N/A,Fog,Patches of Fog
7:00 AM,48.9 °F,46.0 °F,90.0%,30.12 in,3.0 mi,ESE,3.5 mph,-,N/A,Fog,Patches of Fog
8:00 AM,53.1 °F,42.1 °F,66.0%,30.13 in,4.0 mi,Calm,Calm,-,N/A,Fog,Patches of Fog
9:00 AM,57.0 °F,42.1 °F,57.0%,30.14 in,4.0 mi,Calm,Calm,-,N/A,,Haze
10:00 AM,62.1 °F,37.0 °F,39.0%,30.13 in,5.0 mi,Calm,Calm,-,N/A,,Haze
11:00 AM,62.1 °F,43.0 °F,50.0%,30.09 in,4.0 mi,West,8.1 mph,-,N/A,,Haze
12:00 PM,60.5 °F,51.5 °F,72.0%,30.08 in,4.0 mi,West,9.2 mph,-,N/A,,Haze
1:00 PM,60.1 °F,51.1 °F,72.0%,30.06 in,5.0 mi,West,8.1 mph,-,N/A,,Haze
2:00 PM,62.1 °F,48.9 °F,62.0%,30.06 in,5.0 mi,West,6.9 mph,-,N/A,,Haze
